date,store_id,sku,product_category,total_sales_units,on_hand_inventory_units,replenishment_units,inventory_pipeline,units_in_transit,units_in_dc,units_on_order,units_under_promotion,shelf_capacity
2019-05-10,63,57,Category 04,2,1,0,0,0,0,0,0,32
2019-05-14,63,57,Category 04,2,13,0,12,0,0,0,0,32
2019-05-15,63,57,Category 04,2,12,0,11,0,0,0,0,32
2019-05-17,63,57,Category 04,2,7,0,15,0,0,8,0,32
2019-05-18,63,57,Category 04,0,8,0,15,0,0,8,0,32
2019-05-23,63,57,Category 04,6,4,0,19,0,0,16,0,32
2019-05-29,63,57,Category 04,6,13,8,20,8,0,0,0,32
2019-05-30,63,57,Category 04,3,18,0,26,0,0,8,0,32
2019-05-31,63,57,Category 04,0,19,0,26,0,0,8,0,32
2019-06-02,63,57,Category 04,8,11,0,10,0,0,0,0,32
2019-06-04,63,57,Category 04,3,4,0,20,0,0,16,0,32
2019-06-07,63,57,Category 04,0,2,0,18,0,0,16,0,32
2019-06-17,63,57,Category 04,0,18,0,18,0,0,0,0,0
2019-06-19,63,57,Category 04,0,18,0,25,0,0,8,0,0
2019-06-20,63,57,Category 04,2,17,0,24,0,0,8,0,0
2019-06-25,63,57,Category 04,8,10,0,17,0,8,0,0,32
2019-06-30,63,57,Category 04,2,9,0,16,0,0,8,0,32
2019-07-04,63,57,Category 04,2,11,8,18,8,0,0,0,32
2019-07-08,63,57,Category 04,3,11,0,19,0,0,8,0,16
2019-07-09,63,57,Category 04,2,10,8,18,8,0,0,0,16
2019-07-12,63,57,Category 04,0,12,0,28,0,0,16,0,16
2019-07-16,63,57,Category 04,0,20,0,20,0,0,0,0,0
2019-07-17,63,57,Category 04,0,20,0,20,0,0,0,0,0
2019-07-20,63,57,Category 04,0,19,0,35,0,0,16,0,16
2019-07-21,63,57,Category 04,0,20,0,27,0,0,8,0,16
2019-07-23,63,57,Category 04,2,15,16,31,16,0,0,0,16
2019-07-24,63,57,Category 04,0,31,0,39,0,8,0,0,16
2019-07-26,63,57,Category 04,2,29,0,29,0,0,0,0,16
2019-07-31,63,57,Category 04,0,27,0,34,0,0,8,0,16
2019-08-01,63,57,Category 04,2,26,0,34,0,8,0,0,16
2019-08-02,63,57,Category 04,0,26,8,33,8,0,0,0,16
2019-08-03,63,57,Category 04,3,31,0,31,0,0,0,0,16
2019-08-04,63,57,Category 04,0,32,0,31,0,0,0,0,16
2019-08-08,63,57,Category 04,2,20,0,27,0,0,8,0,16
2019-08-09,63,57,Category 04,4,17,0,33,0,0,16,0,16
2019-08-10,63,57,Category 04,0,17,0,32,0,0,16,0,16
2019-08-12,63,57,Category 04,3,31,16,30,0,0,0,0,16
2019-08-13,63,57,Category 04,3,28,0,28,0,0,0,0,16
2019-08-14,63,57,Category 04,2,27,0,35,0,0,8,0,16
2019-08-18,63,57,Category 04,0,34,0,41,0,0,8,0,16
2019-08-19,63,57,Category 04,2,32,0,32,0,0,0,0,16
2019-08-21,63,57,Category 04,0,32,0,39,0,0,8,0,16
2019-08-23,63,57,Category 04,2,31,0,30,0,0,0,0,16
2019-08-24,63,57,Category 04,2,30,0,37,0,0,8,0,16
2019-08-26,63,57,Category 04,3,28,8,35,8,0,0,0,16
2019-08-27,63,57,Category 04,2,34,0,42,0,8,0,0,16
2019-08-28,63,57,Category 04,3,33,0,32,0,0,0,0,16
2019-08-29,63,57,Category 04,3,31,0,30,0,0,0,0,16
2019-09-02,63,57,Category 04,3,25,0,33,0,0,8,0,16
2019-09-08,63,57,Category 04,0,15,0,23,0,8,0,0,16
2019-09-09,63,57,Category 04,0,15,8,23,8,0,0,0,16
2019-09-10,63,57,Category 04,0,15,0,31,8,0,8,0,16
2019-09-11,63,57,Category 04,2,23,0,30,0,0,8,0,16
2019-09-13,63,57,Category 04,3,21,0,28,0,0,8,0,16
2019-09-16,63,57,Category 04,2,25,0,33,0,0,8,0,16
2019-09-20,63,57,Category 04,0,23,0,30,0,0,8,0,16
2019-09-25,63,57,Category 04,3,28,0,28,0,0,0,0,16
2019-09-26,63,57,Category 04,0,29,0,28,0,0,0,0,16
2019-10-04,63,57,Category 04,4,16,0,24,8,0,0,0,16
2019-10-06,63,57,Category 04,0,19,0,27,0,0,8,0,16
2019-10-07,63,57,Category 04,0,20,0,27,0,0,8,0,16
2019-10-08,63,57,Category 04,4,16,0,24,0,8,0,0,16
2019-10-11,63,57,Category 04,0,23,0,22,0,0,0,0,16
2019-10-16,63,57,Category 04,2,16,0,23,0,8,0,0,16
2019-10-18,63,57,Category 04,4,11,0,27,8,0,8,0,16
2019-10-20,63,57,Category 04,0,17,0,33,0,16,0,0,16
2019-10-22,63,57,Category 04,0,33,0,33,0,0,0,0,16
2019-10-23,63,57,Category 04,0,34,0,33,0,0,0,0,16
2019-10-26,63,57,Category 04,3,31,0,31,0,0,0,0,16
2019-10-27,63,57,Category 04,0,32,0,31,0,0,0,0,16
2019-11-02,63,57,Category 04,4,19,0,18,0,0,0,0,16
2019-11-03,63,57,Category 04,3,19,0,18,0,0,0,0,16
2019-11-05,63,57,Category 04,3,12,0,43,0,0,32,0,16
2019-11-06,63,57,Category 04,4,9,0,40,0,0,32,0,16
2019-11-10,63,57,Category 04,6,0,16,56,48,0,8,0,16
2019-11-11,63,57,Category 04,0,48,0,64,0,16,0,0,16
2019-11-12,63,57,Category 04,3,47,0,46,0,0,0,0,16
2019-11-13,63,57,Category 04,2,46,0,45,0,0,0,0,16
2019-11-14,63,57,Category 04,2,45,0,44,0,0,0,0,16
2019-11-16,63,57,Category 04,7,34,0,34,0,0,0,0,16
2019-11-26,63,57,Category 04,0,0,0,0,0,0,0,0,16
2019-11-27,63,57,Category 04,0,24,16,40,16,0,0,0,16
2019-11-30,63,57,Category 04,0,40,0,40,0,0,0,0,16
2019-12-01,63,57,Category 04,0,41,0,40,0,0,0,0,16
2019-12-02,63,57,Category 04,4,37,0,37,0,0,0,0,16
2019-12-03,63,57,Category 04,0,38,0,37,0,0,0,0,16
2019-12-08,63,57,Category 04,2,25,0,33,0,8,0,0,16
2019-12-11,63,57,Category 04,0,33,0,40,0,0,8,0,16
2019-12-12,63,57,Category 04,3,30,0,38,0,8,0,0,16
2019-12-13,63,57,Category 04,0,30,8,46,8,0,8,0,16
2019-12-14,63,57,Category 04,0,38,0,38,0,0,0,0,16
2019-12-16,63,57,Category 04,2,36,0,35,0,0,0,0,16
2019-12-17,63,57,Category 04,2,35,0,34,0,0,0,0,16
2019-12-18,63,57,Category 04,3,32,0,32,0,0,0,0,16
2019-12-26,63,57,Category 04,0,32,0,32,0,0,0,0,16
2019-12-30,63,57,Category 04,0,33,0,32,0,0,0,0,16
2020-01-01,63,57,Category 04,2,30,0,29,0,0,0,0,16
2020-01-02,63,57,Category 04,4,27,0,34,0,0,8,0,16
2020-01-07,63,57,Category 04,4,15,0,30,0,0,16,0,16
2020-01-10,63,57,Category 04,2,26,16,33,0,0,8,0,16
2020-01-14,63,57,Category 04,2,25,8,33,0,0,8,0,16
2020-01-17,63,57,Category 04,0,19,0,27,0,8,0,0,16
2020-01-23,63,57,Category 04,3,37,0,36,0,0,0,0,16
2020-01-24,63,57,Category 04,6,32,0,31,0,0,0,0,16
2020-01-26,63,57,Category 04,5,27,0,26,0,0,0,0,16
2020-01-30,63,57,Category 04,6,14,0,13,0,0,0,0,16
2020-02-01,63,57,Category 04,5,7,0,30,0,0,24,0,16
2020-02-05,63,57,Category 04,2,4,24,36,24,0,8,0,16
2020-02-06,63,57,Category 04,0,4,0,36,24,0,8,0,16
2020-02-07,63,57,Category 04,2,28,0,35,0,0,8,0,16
2020-02-09,63,57,Category 04,5,18,8,25,8,0,0,0,16
2020-02-11,63,57,Category 04,2,23,0,31,0,0,8,0,16
2020-02-15,63,57,Category 04,3,24,0,23,0,0,0,0,16
2020-02-17,63,57,Category 04,4,20,0,27,0,0,8,0,16
2020-02-21,63,57,Category 04,4,16,16,31,16,0,0,0,16
2020-02-22,63,57,Category 04,7,25,0,25,0,0,0,0,16
2020-02-24,63,57,Category 04,3,23,0,22,0,0,0,0,16
2020-02-29,63,57,Category 04,2,14,0,29,0,0,16,0,16
2020-03-03,63,57,Category 04,3,21,0,36,0,0,16,0,16
2020-03-06,63,57,Category 04,5,17,0,32,0,0,16,0,16
2020-03-12,63,57,Category 04,6,11,0,42,0,0,32,0,16
2020-03-14,63,57,Category 04,2,3,0,18,0,0,16,0,16
2020-03-17,63,57,Category 04,9,3,8,18,8,0,8,0,16
2020-03-21,63,57,Category 04,2,-1,24,47,24,16,8,0,16
2020-03-22,63,57,Category 04,0,23,0,23,0,0,0,0,16
2020-03-23,63,57,Category 04,22,2,0,10,0,8,0,0,16
2020-03-25,63,57,Category 04,0,9,0,8,0,0,0,0,16
2020-03-26,63,57,Category 04,2,8,0,7,0,0,0,0,16
2020-03-27,63,57,Category 04,3,5,0,21,0,0,16,0,16
2020-03-30,63,57,Category 04,0,1,0,32,0,0,32,0,16
2020-04-06,63,57,Category 04,4,12,0,27,0,0,16,0,16
2020-04-08,63,57,Category 04,5,3,0,50,0,8,40,0,16
2020-04-11,63,57,Category 04,5,14,0,29,0,0,16,0,16
2020-04-12,63,57,Category 04,2,13,0,36,0,0,24,0,16
2020-04-15,63,57,Category 04,7,2,0,2,0,0,0,0,16
2020-04-17,63,57,Category 04,0,1,0,33,0,0,32,0,16
2020-04-18,63,57,Category 04,0,1,0,33,0,0,32,0,16
2020-04-19,63,57,Category 04,0,1,0,49,0,0,48,0,16
2020-04-20,63,57,Category 04,0,1,0,41,0,0,40,0,16
2020-04-21,63,57,Category 04,0,1,0,49,0,0,48,0,16
2020-04-25,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-04-27,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-04-30,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-05-06,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-05-07,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-05-08,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-05-11,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-05-13,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-05-14,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-05-15,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-05-17,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-05-19,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-05-25,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-05-27,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-05-29,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-06-04,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-06-08,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-06-09,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-06-11,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-06-12,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-06-13,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-06-17,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-06-18,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-06-19,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-06-23,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-06-24,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-06-27,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-06-30,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-07-02,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-07-03,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-07-06,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-07-07,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-07-09,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-07-15,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-07-16,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-07-17,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-07-18,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-07-19,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-07-22,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-07-23,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-07-24,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-07-25,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-07-28,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-07-29,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-08-02,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-08-06,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-08-09,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-08-10,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-08-12,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-08-13,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-08-15,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-08-17,63,57,Category 04,0,0,0,8,0,0,8,0,16
2020-08-18,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-08-20,63,57,Category 04,0,0,0,0,0,0,0,0,16
2020-08-23,63,57,Category 04,0,0,8,16,8,0,8,0,16
2020-08-25,63,57,Category 04,0,8,8,16,8,0,0,0,16
2020-08-26,63,57,Category 04,0,8,0,16,8,0,0,0,16
2020-08-28,63,57,Category 04,4,12,0,11,0,0,0,0,16
2020-08-29,63,57,Category 04,3,9,0,9,0,0,0,0,16
2020-09-02,63,57,Category 04,0,1,0,33,0,0,32,0,16
2020-09-03,63,57,Category 04,0,1,0,33,0,0,32,0,16
2020-09-05,63,57,Category 04,0,1,32,33,32,0,0,0,16
2020-09-06,63,57,Category 04,0,33,0,65,0,0,32,0,16
2020-09-08,63,57,Category 04,3,31,0,54,0,0,24,0,16
2020-09-10,63,57,Category 04,3,24,0,48,0,0,24,0,16
2020-09-11,63,57,Category 04,0,25,0,64,0,0,40,0,16
2020-09-12,63,57,Category 04,3,23,32,62,32,0,8,0,16
2020-09-15,63,57,Category 04,2,48,0,48,0,0,0,0,16
2020-09-16,63,57,Category 04,3,47,0,46,0,0,0,0,16
2020-09-20,63,57,Category 04,2,38,0,53,0,0,16,0,16
2020-09-27,63,57,Category 04,3,30,0,69,0,0,40,0,16
2020-09-29,63,57,Category 04,3,24,0,55,0,0,32,0,16
2020-10-05,63,57,Category 04,2,31,0,54,0,0,24,0,16
2020-10-09,63,57,Category 04,4,19,0,50,0,16,16,0,16
2020-10-11,63,57,Category 04,3,0,0,0,0,0,0,0,16
2020-10-13,63,57,Category 04,0,24,0,47,0,8,16,0,16
2020-10-16,63,57,Category 04,3,24,16,63,16,0,24,0,16
2020-10-18,63,57,Category 04,2,0,0,0,0,0,0,0,16
2020-10-25,63,57,Category 04,2,35,0,58,0,0,24,0,16
2020-10-27,63,57,Category 04,3,29,0,52,0,0,24,0,16
2020-10-29,63,57,Category 04,3,25,0,96,24,24,24,0,16
2020-10-30,63,57,Category 04,2,48,0,63,0,16,0,0,16
2020-11-03,63,57,Category 04,3,46,0,61,0,0,16,0,16
2020-11-07,63,57,Category 04,6,26,0,58,16,16,0,0,16
2020-11-08,63,57,Category 04,0,29,0,60,16,0,16,0,16
2020-11-13,63,57,Category 04,6,48,16,63,16,0,0,0,16
2020-11-15,63,57,Category 04,8,37,0,53,16,0,0,0,16
2020-11-17,63,57,Category 04,0,51,0,58,0,0,8,0,16
2020-11-18,63,57,Category 04,9,43,0,58,0,0,16,0,16
2020-11-19,63,57,Category 04,4,40,0,63,0,0,24,0,16
2020-11-20,63,57,Category 04,7,34,0,73,0,0,40,0,16
2020-11-21,63,57,Category 04,6,29,32,76,32,0,16,0,16
2020-11-22,63,57,Category 04,3,26,0,90,32,32,0,0,16
2020-11-24,63,57,Category 04,7,53,0,60,0,0,8,0,16
2020-11-28,63,57,Category 04,4,42,0,65,0,0,24,0,16
2020-11-29,63,57,Category 04,4,39,0,86,0,0,48,0,16
2020-11-30,63,57,Category 04,3,37,0,76,0,24,16,0,16
2020-12-02,63,57,Category 04,4,57,0,81,0,0,24,0,16
2020-12-03,63,57,Category 04,0,58,0,81,0,0,24,0,16
2020-12-05,63,57,Category 04,3,50,0,82,0,16,16,0,16
2020-12-06,63,57,Category 04,0,0,16,0,0,0,0,0,16
2020-12-07,63,57,Category 04,0,66,16,90,16,0,8,0,16
2020-12-09,63,57,Category 04,0,81,0,81,0,0,0,0,16
2020-12-12,63,57,Category 04,2,76,0,84,0,0,8,0,16
2020-12-13,63,57,Category 04,0,77,0,84,0,0,8,0,16
2020-12-14,63,57,Category 04,2,75,0,83,0,0,8,0,16
2020-12-18,63,57,Category 04,0,79,0,78,0,0,0,0,16
2020-12-19,63,57,Category 04,5,75,0,74,0,0,0,0,16
2020-12-20,63,57,Category 04,7,1,0,0,0,0,0,0,16
2020-12-21,63,57,Category 04,4,65,0,65,0,0,0,0,16
2020-12-22,63,57,Category 04,0,65,0,65,0,0,0,0,16
2020-12-27,63,57,Category 04,0,59,0,74,0,8,8,0,16
2020-12-29,63,57,Category 04,3,56,8,72,16,0,0,0,16
2020-12-31,63,57,Category 04,0,72,0,72,0,0,0,0,16
2021-01-01,63,57,Category 04,3,71,0,70,0,0,0,0,16
2021-01-04,63,57,Category 04,2,1,0,0,0,0,0,0,16
2021-01-05,63,57,Category 04,2,63,0,71,0,0,8,0,16
2021-01-07,63,57,Category 04,0,60,0,59,0,0,0,0,16
2021-01-08,63,57,Category 04,2,58,0,58,0,0,0,0,16
2021-01-12,63,57,Category 04,0,55,8,63,8,0,0,0,16
2021-01-13,63,57,Category 04,0,55,0,63,8,0,0,0,16
2021-01-14,63,57,Category 04,0,64,0,63,0,0,0,0,16
2021-01-16,63,57,Category 04,3,60,0,60,0,0,0,0,16
2021-01-23,63,57,Category 04,0,55,0,55,0,0,0,0,16
2021-01-24,63,57,Category 04,0,55,0,55,0,0,0,0,16
2021-01-26,63,57,Category 04,0,56,0,55,0,0,0,0,16
2021-02-01,63,57,Category 04,3,49,0,48,0,0,0,0,16
2021-02-03,63,57,Category 04,2,48,0,56,0,0,8,0,16
2021-02-08,63,57,Category 04,0,40,0,40,0,0,0,0,16
2021-02-09,63,57,Category 04,0,40,0,40,0,0,0,0,16
2021-02-10,63,57,Category 04,0,40,0,40,0,0,0,0,16
2021-02-11,63,57,Category 04,0,41,0,48,0,0,8,0,16
2021-02-12,63,57,Category 04,2,39,0,47,0,0,8,0,16
2021-02-13,63,57,Category 04,0,39,0,47,0,0,8,0,16
2021-02-14,63,57,Category 04,0,39,0,39,0,0,0,0,16
2021-02-15,63,57,Category 04,0,39,0,55,0,0,16,0,16
2021-02-16,63,57,Category 04,0,39,0,55,0,0,16,0,16
2021-02-17,63,57,Category 04,0,39,0,47,0,0,8,0,16
2021-02-18,63,57,Category 04,0,39,0,39,0,0,0,0,16
2021-02-19,63,57,Category 04,0,39,0,39,0,0,0,0,16
2021-02-20,63,57,Category 04,0,40,8,47,8,0,0,0,16
2021-02-21,63,57,Category 04,2,46,0,54,0,8,0,0,16
2021-02-22,63,57,Category 04,0,93,0,92,0,0,0,0,16
2021-02-23,63,57,Category 04,4,87,0,86,0,0,0,0,16
2021-02-24,63,57,Category 04,3,44,0,43,0,0,0,0,16
2021-02-25,63,57,Category 04,2,42,0,41,0,0,0,0,16
2021-02-26,63,57,Category 04,6,41,0,40,0,0,0,0,16
2021-02-27,63,57,Category 04,3,33,0,49,0,8,8,0,0
2021-02-28,63,57,Category 04,0,34,8,49,0,8,8,0,0
2021-03-01,63,57,Category 04,3,33,0,49,8,0,8,0,0
2021-03-02,63,57,Category 04,0,40,0,39,0,0,0,0,0
2021-03-03,63,57,Category 04,2,39,0,46,0,0,8,0,0
2021-03-04,63,57,Category 04,2,37,0,37,0,0,0,0,0
2021-03-05,63,57,Category 04,0,37,0,37,0,0,0,0,0
2021-03-06,63,57,Category 04,0,38,0,37,0,0,0,0,16
2021-03-07,63,57,Category 04,3,38,0,37,0,0,0,0,16
2021-03-08,63,57,Category 04,4,32,0,32,0,0,0,0,16
2021-03-09,63,57,Category 04,0,33,0,32,0,0,0,0,16
2021-03-10,63,57,Category 04,2,32,0,31,0,0,0,0,16
2021-03-11,63,57,Category 04,3,30,0,29,0,0,0,0,16
2021-03-12,63,57,Category 04,3,30,0,29,0,0,0,0,16
2021-03-13,63,57,Category 04,2,27,0,34,0,0,8,0,16
2021-03-14,63,57,Category 04,5,23,0,39,0,0,16,0,16
2021-03-15,63,57,Category 04,0,22,0,22,0,0,0,0,16
2021-03-16,63,57,Category 04,0,23,0,22,0,0,0,0,16
2021-03-17,63,57,Category 04,2,22,0,30,0,0,8,0,16
2021-03-18,63,57,Category 04,0,21,0,29,0,0,8,0,16
2021-03-19,63,57,Category 04,0,22,0,29,0,0,8,0,16
2021-03-20,63,57,Category 04,2,21,0,29,0,0,8,0,16
2021-03-21,63,57,Category 04,0,20,0,20,0,0,0,0,16
2021-03-22,63,57,Category 04,0,20,0,36,0,0,16,0,16
2021-03-23,63,57,Category 04,0,20,0,36,0,0,16,0,16
2021-03-24,63,57,Category 04,0,20,0,28,0,0,8,0,16
2021-03-25,63,57,Category 04,0,20,0,36,0,0,16,0,16
2021-03-26,63,57,Category 04,0,20,0,36,0,0,16,0,16
2021-03-27,63,57,Category 04,0,20,0,28,0,0,8,0,16
2021-03-28,63,57,Category 04,0,20,0,28,0,0,8,0,16
2021-03-29,63,57,Category 04,0,20,0,28,0,0,8,0,16
2021-03-30,63,57,Category 04,0,20,0,28,0,0,8,0,16
2021-03-31,63,57,Category 04,0,20,0,28,0,0,8,0,16
2021-04-01,63,57,Category 04,0,20,0,28,0,0,8,0,16
2021-04-02,63,57,Category 04,0,20,0,28,0,0,8,0,16
2021-04-03,63,57,Category 04,0,20,0,20,0,0,0,0,16
2021-04-04,63,57,Category 04,0,20,0,20,0,0,0,0,16
2021-04-05,63,57,Category 04,0,20,0,20,0,0,0,0,16
2021-04-06,63,57,Category 04,0,20,0,20,0,0,0,0,16
2021-04-07,63,57,Category 04,0,20,0,20,0,0,0,0,16
2021-04-08,63,57,Category 04,0,20,0,20,0,0,0,0,16
2021-04-09,63,57,Category 04,0,20,0,20,0,0,0,0,16
2021-04-10,63,57,Category 04,0,20,0,20,0,0,0,0,16
2021-04-11,63,57,Category 04,0,21,0,20,0,0,0,0,16
2021-04-12,63,57,Category 04,2,20,0,20,0,0,0,0,16
2021-04-13,63,57,Category 04,0,19,0,27,0,0,8,0,16
2021-04-14,63,57,Category 04,0,20,0,27,0,0,8,0,16
2021-04-15,63,57,Category 04,4,20,0,19,0,0,0,0,16
2021-04-16,63,57,Category 04,4,17,0,16,0,0,0,0,16
2021-04-17,63,57,Category 04,5,10,0,9,0,0,0,0,16
2021-04-18,63,57,Category 04,4,10,0,9,0,0,0,0,16
2021-04-19,63,57,Category 04,4,7,0,22,0,0,16,0,16
2021-04-20,63,57,Category 04,2,2,0,18,0,0,16,0,16
2021-04-21,63,57,Category 04,0,2,0,18,0,0,16,0,16
